SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 12:25,2.603,91,232.1,8.45,0.016
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 12:30,2.477,94.6,56.04,8.31,0.1
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 12:35,3.07,88.6,98.6,8.48,0.128
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 12:40,2.705,87.1,140.1,8.41,0.172
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 12:45,2.392,91.3,222.1,8.46,0.162
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 12:50,2.521,97.8,100.6,8.57,0.152
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 12:55,3.52,73.54,83.8,8.66,0.142
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:00,3.135,65.59,76.32,8.36,0.155
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:05,2.993,79.85,69.03,8.71,0.112
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:10,3.43,36.3,63.83,8.35,0.156
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:15,2.831,59.22,42.37,8.73,0.165
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:20,3.045,51.23,56,8.82,0.156
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:25,3.038,47.92,64.88,8.64,0.163
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:30,3.538,31.76,61.08,8.35,0.178
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:35,3.203,47.44,67.18,8.53,0.177
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:40,3.052,69.03,65.97,8.81,0.168
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:45,2.854,56.15,73.71,8.6,0.179
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:50,2.588,78.02,73.99,9.14,0.175
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 13:55,2.953,58.47,61.23,8.82,0.164
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:00,3.753,42.44,57.77,8.51,0.148
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:05,2.845,38.03,60.57,8.69,0.164
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:10,2.628,44.92,79.72,8.8,0.174
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:15,3.434,40.19,67.39,8.79,0.158
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:20,2.959,40.72,70.98,8.64,0.174
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:25,2.176,60.58,74.77,8.85,0.154
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:30,1.631,92.4,231.1,9.53,0.137
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:35,2.527,55.53,78.72,9.45,0.146
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:40,2.002,56.1,75.27,9.17,0.144
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:45,2.795,46.93,67.68,9.19,0.142
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:50,2.123,75.9,68.01,9.13,0.15
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 14:55,2.312,77.39,83.5,9.32,0.126
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:00,1.828,52.27,76.45,9.35,0.156
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:05,2.442,36.76,45.4,9.27,0.144
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:10,1.469,61.02,44.76,9.44,0.148
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:15,2.358,58,57.98,9.76,0.148
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:20,2.253,71.08,69.41,9.25,0.17
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:25,2.591,37.22,73.51,9.08,0.169
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:30,2.689,44.49,65.97,8.96,0.179
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:35,1.81,36.77,66.08,8.98,0.185
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:40,2.249,62.34,76.13,9.24,0.164
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:45,1.737,66.15,61.82,9.25,0.149
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:50,1.685,60.41,77.79,9.32,0.131
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 15:55,2.557,45.87,67.27,9.06,0.119
SF04,"Lincoln High School","2162 24th Ave",5,2016-01-6? 16:00,2.16,39.75,57.89,8.63,0.106
